"کد (ID)","نام ماده اولیه","دسته‌بندی","واحد پیش‌فرض","نسبت‌های تبدیل واحد (مفصل)"
"251","نمک یددار طعام","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"252","نمک دریا کریستالی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"253","نمک صورتی هیمالیا","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"254","فلفل سیاه آسیاب‌شده","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"255","دانه فلفل سیاه","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"256","فلفل قرمز تند","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"257","فلفل پاپریکا شیرین","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"258","فلفل پاپریکا دودی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"259","فلفل پولبیبر ترکیه","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"260","زردچوبه ممتاز هندی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"261","دارچین پودری","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"262","چوب دارچین سیلان","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"263","زنجبیل پودری","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"264","زنجبیل تازه رنده‌شده","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"265","هل سبز اکبر (پودر)","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"266","دانه هل سبز کامل","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"267","پودر کاری هندی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"268","پودر سیر خالص","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"269","پودر پیاز","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"270","آویشن شیرازی خشک","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"271","پودر لیمو عمانی زرد","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"272","پودر لیمو عمانی سیاه","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"273","لیمو عمانی زرد سالم","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"274","لیمو عمانی سیاه سالم","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"275","گلپر پودری","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"276","زیره سبز کوهی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"277","زیره سیاه کرمانی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"278","زعفران دم‌کرده","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"279","زعفران سرگل خشکی","ادویه‌جات و چاشنی‌ها","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"280","سماق قرمز تبریز","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"281","سماق قهوه‌ای","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"282","تخم گشنیز پودرشده","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"283","غنچه گل محمدی","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"284","پودر گل سرخ","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"285","میخک هندی","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"286","جوز هندی رنده‌شده","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"287","دانه خردل زرد","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"288","گلاب دوآتشه کاشان","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"289","عرق نعناع سنتی","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"290","عرق بهارنارنج","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"291","عرق بیدمشک","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"292","سرکه انگور سفید","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"293","سرکه انگور قرمز","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"294","سرکه سیب طبیعی","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"295","سرکه بالزامیک ایتالیایی","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"296","آبغوره شیراز","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"297","آبلیمو تازه خانگی","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"298","تمر هندی مرغوب","ادویه‌جات و چاشنی‌ها","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"299","رب انار ملس ساوه","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"300","رب انار ترش جلا","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"301","رب آلوچه جنگلی","ادویه‌جات و چاشنی‌ها","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"302","قره‌قروت ترش","ادویه‌جات و چاشنی‌ها","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"303","عصاره مرغ الیت","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"304","عصاره گوشت گوشت گوساله","ادویه‌جات و چاشنی‌ها","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"305","ادویه کاری مرغ و ماهی","ادویه‌جات و چاشنی‌ها","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"306","روغن مایع آفتابگردان","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"307","روغن مخصوص سرخ‌کردنی","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"308","روغن زیتون فرابکر (بی‌بو)","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"309","روغن زیتون بودار سنتی","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"310","روغن کنجد بکش","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"311","روغن ارده کنجد","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"312","روغن ذرت خالص","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"313","روغن هسته انگور","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"314","روغن کانولا (کلزا)","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"315","روغن نارگیل خوراکی","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"316","رب گوجه فرنگی غلیظ","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"317","رب گوجه خانگی تنوری","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"318","رب فلفل قرمز ترکیه‌ای","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"319","سس مایونز کلاسک","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"320","سس مایونز کم‌چرب","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"321","سس خردل دیژون","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"322","سس خردل ملایم","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"323","سس کچاپ گوجه فرنگی","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"324","سس کچاپ تند (تیکه‌دار)","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"325","سس هزارجزیره","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"326","سس فرانسوی سالاد","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"327","سس سیر و سفید","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"328","سس باربیکیو دودی","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"329","سس سویا شور (تیره)","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"330","سس تند تاباسکو","روغن، سس و رب","قاشق چای‌خوری","۱ قاشق چای‌خوری = ۰.۳۳۳ قاشق غذاخوری | ۵ میلی‌لیتر | ۵ گرم (پایه عمومی)"
"331","سس سالاد سزار","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"332","سس چیلی شیرین تای","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"333","سس بشامل (سس سفید)","روغن، سس و رب","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"334","سس انار مخصوص کباب","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"335","ارده کنجد خالص","روغن، سس و رب","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"336","مغز گردو تویسرکان","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"337","مغز بادام درختی شیرین","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"338","بادام زمینی برشته نمکی","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"339","مغز بادام هندی خام","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"340","پسته اکبری خندان","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"341","مغز پسته کال سبز","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"342","مغز فندق بو داده","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"343","خلال بادام درختی","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"344","خلال پسته سبز","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"345","کشمش پلویی آفتابی","مغزها و خشکبار","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"346","کشمش سبز قلمی","مغزها و خشکبار","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"347","مویز سیاه بی‌هسته","مغزها و خشکبار","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"348","زرشک قرمز اعلا","مغزها و خشکبار","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"349","زرشک سیاه کوهی","مغزها و خشکبار","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"350","آلو بخارا خورشتی","مغزها و خشکبار","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"351","آلو برقانی طلایی","مغزها و خشکبار","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"352","آلوچه خشک ترش","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"353","برگه زردآلو (قیسی)","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"354","برگه هلو زعفرانی","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"355","انجیر خشک استهبان","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"356","توت خشک آفتابی","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"357","خرمای مضافتی بم","مغزها و خشکبار","جعبه","طبق فرمول عمومی واحد جعبه"
"358","خرمای پیارم ممتاز","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"359","خرمای زاهدی خشک","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"360","خرمای استعمران","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"361","خمیر خرما خالص","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"362","کنجد سفید خام","مغزها و خشکبار","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"363","کنجد سیاه بو داده","مغزها و خشکبار","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"364","تخمه آفتابگردان دورسفید","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"365","تخمه کدو گوشتی","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"366","تخمه ژاپنی (جابانی)","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"367","تخمه هندوانه بو داده","مغزها و خشکبار","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
